RowNr	L1ReqId	Text	ComplianceType	ComplianceStatement	L2ReqId	L2ReqText
306	SKA1-SYS_REQ-3030	The SKA1_Mid shall instantiate subarrays independent of the existence of a scheduling block.	Derived to L2	Yes	TM_REQ_178	"The TM shall allow the operator to define and configure a Sub-array based on a selection of available Observation Resource Units to be treated as a single functional unit capable of executing observations TBC27.  Each Sub-array shall be configured (independently from other Sub-array instances) in terms of the following parameters:
1.      Its pointing (i.e. the central direction of its main beam),
2.      Its frequency resolution,
3.      Its bandwidth,
4.      Its Visibility or beam integration period.
 
Note1: This requirement makes it possible for existence of Sub-arrays to be independent of the existence of Scheduling Blocks. Any Sub-array instance will be independent from any other instance in terms of their control and configuration factors."
310	SKA1-SYS_REQ-3036	"For all dishes belonging to a given subarray,SKA1-Mid, when commanded, shall deliver autocorrelation spectra, with frequency coverage, spectral resolution, per-visibility polarisation products, and spectral and temporal response matching that of the cross-correlation spectra from that subarray."	Derived to L2	Yes	TM_REQ_178	"The TM shall allow the operator to define and configure a Sub-array based on a selection of available Observation Resource Units to be treated as a single functional unit capable of executing observations TBC27.  Each Sub-array shall be configured (independently from other Sub-array instances) in terms of the following parameters:
1.      Its pointing (i.e. the central direction of its main beam),
2.      Its frequency resolution,
3.      Its bandwidth,
4.      Its Visibility or beam integration period.
 
Note1: This requirement makes it possible for existence of Sub-arrays to be independent of the existence of Scheduling Blocks. Any Sub-array instance will be independent from any other instance in terms of their control and configuration factors.
"
510	SKA1-SYS_REQ-3368	"The SKA1_Low shall be configurable for one of the following:.


 
	 1024 sub-stations randomly distributed within stations.
	 
		 Stations are populated with 4 randomly-located substations in the core and 4 randomly-located substations in one of the 6 stations at each cluster location. 
		 75 MHz of bandwidth is available. 
	 
	 
	 1024 sub-stations regularly distributed within stations.
	 
		 Stations are populated with 6 substations in the core and 4 substations in one of the 6 stations at each cluster location. 
		 75 MHz of bandwidth is available. 
	 
	 
	 2048 sub-stations randomly distributed within stations.
	 
		 Stations are populated with 4 randomly located substations in all of the 512 stations. 
		 19 MHz of bandwidth is available. 
	 
	 
	 2048 sub-stations regularly distributed within stations.
	 
		 Stations are populated with 6 substations in the core and 6 substations in 3 of the 6 stations at each cluster location. 
		 19 MHz of bandwidth is available."	Derived to L2	Yes	TM_REQ_178	"The TM shall allow the operator to define and configure a Sub-array based on a selection of available Observation Resource Units to be treated as a single functional unit capable of executing observations TBC27.  Each Sub-array shall be configured (independently from other Sub-array instances) in terms of the following parameters:
1.      Its pointing (i.e. the central direction of its main beam),
2.      Its frequency resolution,
3.      Its bandwidth,
4.      Its Visibility or beam integration period.
 
Note1: This requirement makes it possible for existence of Sub-arrays to be independent of the existence of Scheduling Blocks. Any Sub-array instance will be independent from any other instance in terms of their control and configuration factors.
"
16	SKA1-SYS_REQ-2173	SKA1 MID Telescope Manager shall be able to control and Monitor all Meerkat Receptors independently	Derived to L2	Yes	TM_REQ_179	"The TM shall interpret and execute the observation script contained inside the Scheduling Block into the appropriate control commands to the Sub-array elements as defined in its S1L.TM.API and S1M.TM.API interface.
"
138	SKA1-SYS_REQ-2646	The SKA1_Low and SKA1_Mid shall provide a mechanism for implementing basic schedule building blocks. 	Derived to L2	Yes	TM_REQ_179	"The TM shall interpret and execute the observation script contained inside the Scheduling Block into the appropriate control commands to the Sub-array elements as defined in its S1L.TM.API and S1M.TM.API interface.
"
116	SKA1-SYS_REQ-2579	All items that present a potential hazard shall be labelled in accordance with BS EN ISO 7010.	Derived to L2	Yes	TM_REQ_18	"An Alarm record shall contain at least the following information:
Alarm tag,
Alarm message,
Alarm state,
Alarm priority,
Alarm type,
time and date of occurrence of the Alarm state change, with a resolution of 1 ms,
tag of the measurement or calculation within the TANGO control system that is the source of the process value: domain/family/member/attribute (refer to [RD63] par. 3),
process value at the time when the Alarm record is recorded,
Alarm setpoint,
process area,
Alarm group.
 
Rationale: 1 millisecond resolution timestamp is supported by TANGO.
"
470	SKA1-SYS_REQ-3249	"SKA1_Low and SKA1_Mid shall each test (for), detect, isolate and report failures to the operational and maintenance personnel.


 
	 SKA1_Mid shall detect   more than 99% of all Critical Failures. 
	 SKA1_Mid shall isolate and log more than 95% of all failures down to a LRU level."	Derived to L2	Yes	TM_REQ_181	"The TM shall allow the conditions for detecting internal failures to be configured by an authenticated and authorised user.
 
Rationale: Allowing for change is considered part of best practice for abnormal event management, which includes reporting of failures.
"
471	SKA1-SYS_REQ-3249	"SKA1_Low and SKA1_Mid shall each test (for), detect, isolate and report failures to the operational and maintenance personnel.


 
	 SKA1_Mid shall detect   more than 99% of all Critical Failures. 
	 SKA1_Mid shall isolate and log more than 95% of all failures down to a LRU level."	Derived to L2	Yes	TM_REQ_181	"The TM shall allow the conditions for detecting internal failures to be configured by an authenticated and authorised user.
 
Rationale: Allowing for change is considered part of best practice for abnormal event management, which includes reporting of failures.
"
51	SKA1-SYS_REQ-2296	"The SKA1_Mid or SKA1_Low, when commanded, shall respond to the detection of transient events via one or more of the following: (a) adjust the scheduling queue on the telescope of origin; (b) issuing a Virtual Observatory Event, VOEvent; (c) issuing a Target of Opportunity, ToO, announcement to SKA Telescopes."	Derived to L2	Yes	TM_REQ_182	"The TM shall receive internal transient events (internal transient Detection alerts) from the SDP via its I.S1L.SDP_TM.003 (as per [RD5]) and I.S1M.SDP_TM.003 interface (as per [RD44]).
"
51	SKA1-SYS_REQ-2296	"The SKA1_Mid or SKA1_Low, when commanded, shall respond to the detection of transient events via one or more of the following: (a) adjust the scheduling queue on the telescope of origin; (b) issuing a Virtual Observatory Event, VOEvent; (c) issuing a Target of Opportunity, ToO, announcement to SKA Telescopes."	Derived to L2	Yes	TM_REQ_183	"The TM, when it receives an Internal Transient Event, shall respond to the event as specified in the Internal Transient Response Configuration of the Scheduling Block that was created for observing the transient event.
"
398	SKA1-SYS_REQ-3168	"The SKA1_Mid and SKA1_Low shall ?dynamically adapt the schedule in response to any sanctioned ToO, VOEvents, or other approved triggers or overrides. The associated Scheduling Block shall enter the schedule according to the trigger's priority."	Derived to L2	Yes	TM_REQ_183	"The TM, when it receives an Internal Transient Event, shall respond to the event as specified in the Internal Transient Response Configuration of the Scheduling Block that was created for observing the transient event.
"
48	SKA1-SYS_REQ-2285	The SKA1_Mid and SKA1_Low shall initiate scheduling intervention within 1s of receiving external TOO triggers.	Derived to L2	Yes	TM_REQ_184	"The TM shall initiate a response to an Internal Transient Event in less than 1 second of receiving the Internal Transient Event. Note by initiate response is meant the first time TM outputs something that has specifically to do with the Internal Transient Event.
"
53	SKA1-SYS_REQ-2301	A qualifying VOEvent within the SKA1_Mid and SKA1_Low shall lead to initiation of a response by the Telescope Manager within 1 second.	Derived to L2	Yes	TM_REQ_186	"The TM, when performing an transient time-critical override, shall:
cancel currently executing Scheduling Blocks if those Scheduling Blocks compete for resources with the Scheduling Block that was created for observing the Transient Event,
execute the Scheduling Block that was created for observing the Transient Event.
if the following conditions are met:
a Scheduling Block exists for observing the Transient Event,
no resource constraints prevents the Scheduling Block from executing,
however if there are currently executing Blocks that compete for resources with the Scheduling Block that was created for observing the Transient Event, the currently executing Scheduling Block is of a lower priority than the Scheduling Block that monitors the Transient Event,
the Scheduling Block that was created for observing the Transient Event is not already executing, and has not run to completion.
"
398	SKA1-SYS_REQ-3168	"The SKA1_Mid and SKA1_Low shall ?dynamically adapt the schedule in response to any sanctioned ToO, VOEvents, or other approved triggers or overrides. The associated Scheduling Block shall enter the schedule according to the trigger's priority."	Derived to L2	Yes	TM_REQ_186	"The TM, when performing an transient time-critical override, shall:
cancel currently executing Scheduling Blocks if those Scheduling Blocks compete for resources with the Scheduling Block that was created for observing the Transient Event,
execute the Scheduling Block that was created for observing the Transient Event.
if the following conditions are met:
a Scheduling Block exists for observing the Transient Event,
no resource constraints prevents the Scheduling Block from executing,
however if there are currently executing Blocks that compete for resources with the Scheduling Block that was created for observing the Transient Event, the currently executing Scheduling Block is of a lower priority than the Scheduling Block that monitors the Transient Event,
the Scheduling Block that was created for observing the Transient Event is not already executing, and has not run to completion.
"
48	SKA1-SYS_REQ-2285	The SKA1_Mid and SKA1_Low shall initiate scheduling intervention within 1s of receiving external TOO triggers.	Derived to L2	Yes	TM_REQ_187	"The TM shall initiate a transient time-critical override in less than 1 second of receiving a VO Event.
Note by initiate response is meant the first time TM outputs a command or message that has specifically to do with the Internal Transient Event.
Note that the 1 second includes delays imposed by TM, but excludes any delays of other sub-systems outside of TM."
53	SKA1-SYS_REQ-2301	A qualifying VOEvent within the SKA1_Mid and SKA1_Low shall lead to initiation of a response by the Telescope Manager within 1 second.	Derived to L2	Yes	TM_REQ_187	"The TM shall initiate a transient time-critical override in less than 1 second of receiving a VO Event.
Note by initiate response is meant the first time TM outputs a command or message that has specifically to do with the Internal Transient Event.
Note that the 1 second includes delays imposed by TM, but excludes any delays of other sub-systems outside of TM."
116	SKA1-SYS_REQ-2579	All items that present a potential hazard shall be labelled in accordance with BS EN ISO 7010.	Derived to L2	Yes	TM_REQ_19	"The TM shall record the life cycle stage of an Alarm for workflow purposes which shall include (but is not limited to) at least the following states:
1. Event reported TBC6.
2. Event acknowledged by person TBC6
3. Event cleared
Rationale: By recording the events that change Alarm states, it is possible to report on causes for delays in management of Alarms, so enabling improvement of management of Alarms.
"
409	SKA1-SYS_REQ-3183	"SKA1-Mid and SKA1-Low shall provide monitoring to log all alarms, alerts and warnings, with a human readable report presented to authorised personnel."	Derived to L2	Yes	TM_REQ_19	"The TM shall record the life cycle stage of an Alarm for workflow purposes which shall include (but is not limited to) at least the following states:
1. Event reported TBC6.
2. Event acknowledged by person TBC6
3. Event cleared
Rationale: By recording the events that change Alarm states, it is possible to report on causes for delays in management of Alarms, so enabling improvement of management of Alarms.
"
410	SKA1-SYS_REQ-3183	"SKA1-Mid and SKA1-Low shall provide monitoring to log all alarms, alerts and warnings, with a human readable report presented to authorised personnel."	Derived to L2	Yes	TM_REQ_19	"The TM shall record the life cycle stage of an Alarm for workflow purposes which shall include (but is not limited to) at least the following states:
1. Event reported TBC6.
2. Event acknowledged by person TBC6
3. Event cleared
Rationale: By recording the events that change Alarm states, it is possible to report on causes for delays in management of Alarms, so enabling improvement of management of Alarms.
"
455	SKA1-SYS_REQ-3238	"SKA1_Mid and SKA1_Low equipment that would otherwise present a safety hazard when subjected to an unplanned loss of main electrical power or main control function, shall enter a designated fail safe state."	Derived to L2	Yes	TM_REQ_190	"The SKA1-Mid TM shall, when requested via its S1M.TM_USER.001 interface, command selected Dishes to stow via its I.S1M.TM_DSH.001 interface.
"
456	SKA1-SYS_REQ-3238	"SKA1_Mid and SKA1_Low equipment that would otherwise present a safety hazard when subjected to an unplanned loss of main electrical power or main control function, shall enter a designated fail safe state."	Derived to L2	Yes	TM_REQ_190	"The SKA1-Mid TM shall, when requested via its S1M.TM_USER.001 interface, command selected Dishes to stow via its I.S1M.TM_DSH.001 interface.
"
47	SKA1-SYS_REQ-2280	"The SKA1_Low and SKA1_Mid shall extract information about the current condition of the system from the science and calibration data streams, and log this information along with other relevant system and environmental status information. Based on this information, it will be possible to monitor, save, and analyse the technical performance of the system."	Derived to L2	Yes	"TM_REQ_192, "	
47	SKA1-SYS_REQ-2280	"The SKA1_Low and SKA1_Mid shall extract information about the current condition of the system from the science and calibration data streams, and log this information along with other relevant system and environmental status information. Based on this information, it will be possible to monitor, save, and analyse the technical performance of the system."	Derived to L2	Yes	"TM_REQ_193, "	
353	SKA1-SYS_REQ-3080	The SKA1-MID shall have the capacity of archiving at least 150 terabytes of transient buffer data per day.	Derived to L2	Yes	TM_REQ_195	"The TM shall perform any required closure of functionality and configuration to ensure no failures can be introduced and that the system can initialise properly during Start-up. The TM shall not be allowed to perform any operations and interactions with its external environment when it is in the Shutdown state.
 
Note: The TM is not required to perform any functions in the Shutdown state."
357	SKA1-SYS_REQ-3084	SKA1_Low and SKA1_Mid shall have a low power mode that reduces power consumption to less than 5% of their nominal capacity.	Derived to L2	Yes	TM_REQ_195	"The TM shall perform any required closure of functionality and configuration to ensure no failures can be introduced and that the system can initialise properly during Start-up. The TM shall not be allowed to perform any operations and interactions with its external environment when it is in the Shutdown state.
 
Note: The TM is not required to perform any functions in the Shutdown state."
47	SKA1-SYS_REQ-2280	"The SKA1_Low and SKA1_Mid shall extract information about the current condition of the system from the science and calibration data streams, and log this information along with other relevant system and environmental status information. Based on this information, it will be possible to monitor, save, and analyse the technical performance of the system."	Derived to L2	Yes	TM_REQ_195 and 	
167	SKA1-SYS_REQ-2742	"Performance assessment within the SKA1_Mid and SKA1_Low shall be based on a number of quantitative metrics computed from an observed Image and, optionally, a template Image."	Derived to L2	Yes	TM_REQ_20	"The TM shall have the capability to enforce a specific work-flow process regarding the managing of Alarms. This logic shall be configurable but as a default will consist of the following:
1. A new Alarm generated will have a status of reported.
2. A manual Alarm in the reported state can be acknowledged by an authorised user upon which the status will change to acknowledged.
3. An automatic Alarm in the reported state shall be acknowledged by the TM upon which the status will change to acknowledged.
4. The TM clears an Alarm in the acknowledged state, for which the conditions have been corrected in the meantime, upon which the status will change to cleared.
 
Rationale: Alarm status enables categorisation of Alarms in terms of the required work flow (e.g. it is important for the Operator to distinguish between Alarms that have not been attended to from those that have). This is important to focus attention on most urgent conditions that have not been attended to yet.
"
174	SKA1-SYS_REQ-2749	"The SKA1_Low and SKA1_Mid spectrometric performance metric (SPM) shall measure deviation (RMS, average offset, and median) of source spectral lines from known standards."	Derived to L2	Yes	TM_REQ_20	"The TM shall have the capability to enforce a specific work-flow process regarding the managing of Alarms. This logic shall be configurable but as a default will consist of the following:
1. A new Alarm generated will have a status of reported.
2. A manual Alarm in the reported state can be acknowledged by an authorised user upon which the status will change to acknowledged.
3. An automatic Alarm in the reported state shall be acknowledged by the TM upon which the status will change to acknowledged.
4. The TM clears an Alarm in the acknowledged state, for which the conditions have been corrected in the meantime, upon which the status will change to cleared.
 
Rationale: Alarm status enables categorisation of Alarms in terms of the required work flow (e.g. it is important for the Operator to distinguish between Alarms that have not been attended to from those that have). This is important to focus attention on most urgent conditions that have not been attended to yet.
"
470	SKA1-SYS_REQ-3249	"SKA1_Low and SKA1_Mid shall each test (for), detect, isolate and report failures to the operational and maintenance personnel.


 
	 SKA1_Mid shall detect   more than 99% of all Critical Failures. 
	 SKA1_Mid shall isolate and log more than 95% of all failures down to a LRU level."	Derived to L2	Yes	TM_REQ_204	"A critical failure condition shall be notified when detected by the TM Services, after which the TM system shall enable an Operator or Maintainer to perform fault isolation and recovery procedures on the system.  The transition can occur from Standby, Start-up, Operational  and Shutdown states.
"
471	SKA1-SYS_REQ-3249	"SKA1_Low and SKA1_Mid shall each test (for), detect, isolate and report failures to the operational and maintenance personnel.


 
	 SKA1_Mid shall detect   more than 99% of all Critical Failures. 
	 SKA1_Mid shall isolate and log more than 95% of all failures down to a LRU level."	Derived to L2	Yes	TM_REQ_204	"A critical failure condition shall be notified when detected by the TM Services, after which the TM system shall enable an Operator or Maintainer to perform fault isolation and recovery procedures on the system.  The transition can occur from Standby, Start-up, Operational  and Shutdown states.
"
1	SKA1-SYS_REQ-2127	"The SKA1_Mid and SKA1_Low, when commanded, shall form subarrays that can be configured and operated independently of each other."	Derived to L2	Yes	TM_REQ_205	"The TM shall display the status of each Sub-array to the Operator.
Note: The TM will derive the Sub-array status from the status of the Capabilities (as reported by other Elements to TM) that are allocated to a Sub-array."
293	SKA1-SYS_REQ-3016	SKA1-Low shall provide independent logical control and monitoring for each instantiated sub-array.	Derived to L2	Yes	TM_REQ_205	"The TM shall display the status of each Sub-array to the Operator.
Note: The TM will derive the Sub-array status from the status of the Capabilities (as reported by other Elements to TM) that are allocated to a Sub-array.
"
294	SKA1-SYS_REQ-3017	"For each instantiated subarray, SKA1_Mid, shall provide independent logical control and monitoring."	Derived to L2	Yes	TM_REQ_205	"The TM shall display the status of each Sub-array to the Operator.
Note: The TM will derive the Sub-array status from the status of the Capabilities (as reported by other Elements to TM) that are allocated to a Sub-array.
"
1	SKA1-SYS_REQ-2127	"The SKA1_Mid and SKA1_Low, when commanded, shall form subarrays that can be configured and operated independently of each other."	Derived to L2	Yes	TM_REQ_206	"The TM, before and during execution of a Scheduling Block, shall compare the status of the Sub-array with the requirements imposed by the Scheduling Block and if the Capability requirements of the Scheduling Block are not met by the Sub-array:
alert the operator,
log the event."
162	SKA1-SYS_REQ-2735	"The SKA1-Mid and SKA1-Low shall provide the capability for authorised personnel to take manual control of the telescope, its subarrays, components and instrumentation."	Derived to L2	Yes	TM_REQ_206	"The TM, before and during execution of a Scheduling Block, shall compare the status of the Sub-array with the requirements imposed by the Scheduling Block and if the Capability requirements of the Scheduling Block are not met by the Sub-array:
alert the operator,
log the event.
"
293	SKA1-SYS_REQ-3016	SKA1-Low shall provide independent logical control and monitoring for each instantiated sub-array.	Derived to L2	Yes	TM_REQ_206	"The TM, before and during execution of a Scheduling Block, shall compare the status of the Sub-array with the requirements imposed by the Scheduling Block and if the Capability requirements of the Scheduling Block are not met by the Sub-array:
alert the operator,
log the event.
"
294	SKA1-SYS_REQ-3017	"For each instantiated subarray, SKA1_Mid, shall provide independent logical control and monitoring."	Derived to L2	Yes	TM_REQ_206	"The TM, before and during execution of a Scheduling Block, shall compare the status of the Sub-array with the requirements imposed by the Scheduling Block and if the Capability requirements of the Scheduling Block are not met by the Sub-array:
alert the operator,
log the event.
"
162	SKA1-SYS_REQ-2735	"The SKA1-Mid and SKA1-Low shall provide the capability for authorised personnel to take manual control of the telescope, its subarrays, components and instrumentation."	Derived to L2	Yes	TM_REQ_207	"The TM shall report the following statuses of Scheduling Blocks to the Operator:
1. not started,
2. failed to start,
3. executing,
4. completed,
5. failed (during execution),
6. interrupted.
 
Rationale: Because the user exercises control over Scheduling Block execution during manual execution mode (e.g. start and cancel operations), the execution status of Scheduling Blocks needs to be made available for monitoring by the user.  The monitoring capability is also useful during Automatic Execution Mode.
"
58	SKA1-SYS_REQ-2306	There shall be an interactive forensic tool for evaluating and understanding the state and behaviour of the system at any one time.	Derived to L2	Yes	TM_REQ_208	"The TM shall allow the Maintainer and Operator to access and copy TM Element logging files (where applicable).
"
409	SKA1-SYS_REQ-3183	"SKA1-Mid and SKA1-Low shall provide monitoring to log all alarms, alerts and warnings, with a human readable report presented to authorised personnel."	Derived to L2	Yes	TM_REQ_208	The TM shall allow the Maintainer and Operator to access and copy TM Element logging files (where applicable).
410	SKA1-SYS_REQ-3183	"SKA1-Mid and SKA1-Low shall provide monitoring to log all alarms, alerts and warnings, with a human readable report presented to authorised personnel."	Derived to L2	Yes	TM_REQ_208	The TM shall allow the Maintainer and Operator to access and copy TM Element logging files (where applicable).
58	SKA1-SYS_REQ-2306	There shall be an interactive forensic tool for evaluating and understanding the state and behaviour of the system at any one time.	Derived to L2	Yes	TM_REQ_209	"The TM shall report log messages to the Maintainer and Operator on request via the TM Logging Service.
"
409	SKA1-SYS_REQ-3183	"SKA1-Mid and SKA1-Low shall provide monitoring to log all alarms, alerts and warnings, with a human readable report presented to authorised personnel."	Derived to L2	Yes	TM_REQ_209	"The TM shall report log messages to the Maintainer and Operator on request via the TM Logging Service.
"
410	SKA1-SYS_REQ-3183	"SKA1-Mid and SKA1-Low shall provide monitoring to log all alarms, alerts and warnings, with a human readable report presented to authorised personnel."	Derived to L2	Yes	TM_REQ_209	"The TM shall report log messages to the Maintainer and Operator on request via the TM Logging Service.
"
58	SKA1-SYS_REQ-2306	There shall be an interactive forensic tool for evaluating and understanding the state and behaviour of the system at any one time.	Derived to L2	Yes	TM_REQ_210	"The TM shall allow the Maintainer and Operator to control logging, including:
a) destination for logging messages,
b) logging level.
"
409	SKA1-SYS_REQ-3183	"SKA1-Mid and SKA1-Low shall provide monitoring to log all alarms, alerts and warnings, with a human readable report presented to authorised personnel."	Derived to L2	Yes	TM_REQ_210	"The TM shall allow the Maintainer and Operator to control logging, including:
a) destination for logging messages,
b) logging level.
"
410	SKA1-SYS_REQ-3183	"SKA1-Mid and SKA1-Low shall provide monitoring to log all alarms, alerts and warnings, with a human readable report presented to authorised personnel."	Derived to L2	Yes	TM_REQ_210	"The TM shall allow the Maintainer and Operator to control logging, including:
a) destination for logging messages,
b) logging level.
"
58	SKA1-SYS_REQ-2306	There shall be an interactive forensic tool for evaluating and understanding the state and behaviour of the system at any one time.	Derived to L2	Yes	TM_REQ_211	"The TM shall aggregate its internal status and report the aggregated status as well as that of it's LRUs to the User in a structured health view.
 
Note 1: The structure will be based on the TM PBS, down to LRU level (LRUs will be identified in the TM Maintenance Plan).
 
Note 2: EInternal status information will include healthState (refer [RD60] par. 5.8).
"
468	SKA1-SYS_REQ-3247	SKA1_Low and SKA1_Mid equipment shall facilitate updates of major software updates within the system availability allocations.	Derived to L2	Yes	TM_REQ_212	"The TM shall, when requested by the Maintainer, report its internal software versions down to the level of software application."
469	SKA1-SYS_REQ-3247	SKA1_Low and SKA1_Mid equipment shall facilitate updates of major software updates within the system availability allocations.	Derived to L2	Yes	TM_REQ_212	"The TM shall, when requested by the Maintainer, report its internal software versions down to the level of software application."
81	SKA1-SYS_REQ-2429	The SKA1_Mid interface between TM and SADT shall be compliant with the 300-000000-027 Interface Control Document.	Derived to L2	Yes	TM_REQ_213	"The TM shall receive the following data from the SADT via its S1M.TM_SADT.001, S1M.TM_SADT.002, S1L.TM_SADT.001, S1L.TM_SADT.002 interfaces as per [RD12] par. 5 and par. 6:
1. Alarms,
2. failure indications and data to be used for failure prediction - NA,
3. Events - NA,
4. Logs - NA,
5. Capabilities - NA,
6. SADT Operational Mode - NA,
7. operational and health status,
8. software, hardware and firmware versions - NA,
9. LRU serial numbers - NA,
10. data that is sent to the TM, to which SDP will subscribe."
482	SKA1-SYS_REQ-3271	The SKA1_Low interface between TM and SADT shall be compliant with the 100-000000-027 Interface Control Document.	Derived to L2	Yes	TM_REQ_213	"The TM shall receive the following data from the SADT via its S1M.TM_SADT.001, S1M.TM_SADT.002, S1L.TM_SADT.001, S1L.TM_SADT.002 interfaces as per [RD12] par. 5 and par. 6:
1. Alarms,
2. failure indications and data to be used for failure prediction - NA,
3. Events - NA,
4. Logs - NA,
5. Capabilities - NA,
6. SADT Operational Mode - NA,
7. operational and health status,
8. software, hardware and firmware versions - NA,
9. LRU serial numbers - NA,
10. data that is sent to the TM, to which SDP will subscribe."
64	SKA1-SYS_REQ-2313	The SKA1_Low and SKA1_Mid shall provide access to all current site and historic site data.	Derived to L2	Yes	TM_REQ_214	"The TM, when requested by a Maintainer, shall display historic failure events.
"
62	SKA1-SYS_REQ-2310	It shall be possible to filter alarms individually or by group.	Derived to L2	Yes	TM_REQ_22	"The TM shall allow the operator to filter the Alarms in the Alarm summary display on at least the following:
tag name of Alarm,
Alarm priority,
Alarm type,
Alarm group,
process area (process areas identified in [RD57] par. 5.7),
tag name of component or LRU (i.e. any sub item of the Element) that supplies the process value that the Alarm monitors,
time period (time of Alarm),
The severity of the event
 
"
360	SKA1-SYS_REQ-3088	The SKA1_Mid and SKA1_Low shall ensure that power consumption remains below available power supply capacity at all times.	Derived to L2	Yes	TM_REQ_220	"The TM, when requested by the Operator with a single request, shall perform the following actions:
1. Cancel executing Scheduling Blocks.
2. Command all Dishes to stow (for SKA1 TM Mid only).
3. Command Elements to shut down.
4. Go to the Shutdown state.
 
Rationale:
The TM will orchestrate Telescope shutdown: a sequenced, orderly termination of relevant processes and power down of equipment that are affected by the power/cooling loss event. The idea is to ensure that data taken during the current observation is not compromised, equipment that are sensitive to hard power down are given due instruction to manage own power down, and to leave equipment in a state that poses least hazard for people or themselves (e.g. stowing of Dishes). Excluded from Telescope power down coordination from TM are INFRA-SA and INFRA-AUS computing sub-systems, and SADT networking equipment.
"
455	SKA1-SYS_REQ-3238	"SKA1_Mid and SKA1_Low equipment that would otherwise present a safety hazard when subjected to an unplanned loss of main electrical power or main control function, shall enter a designated fail safe state."	Derived to L2	Yes	TM_REQ_220	"The TM, when requested by the Operator with a single request, shall perform the following actions:
1. Cancel executing Scheduling Blocks.
2. Command all Dishes to stow (for SKA1 TM Mid only).
3. Command Elements to shut down.
4. Go to the Shutdown state.
 
Rationale:
The TM will orchestrate Telescope shutdown: a sequenced, orderly termination of relevant processes and power down of equipment that are affected by the power/cooling loss event. The idea is to ensure that data taken during the current observation is not compromised, equipment that are sensitive to hard power down are given due instruction to manage own power down, and to leave equipment in a state that poses least hazard for people or themselves (e.g. stowing of Dishes). Excluded from Telescope power down coordination from TM are INFRA-SA and INFRA-AUS computing sub-systems, and SADT networking equipment.
"
456	SKA1-SYS_REQ-3238	"SKA1_Mid and SKA1_Low equipment that would otherwise present a safety hazard when subjected to an unplanned loss of main electrical power or main control function, shall enter a designated fail safe state."	Derived to L2	Yes	TM_REQ_220	"The TM, when requested by the Operator with a single request, shall perform the following actions:
1. Cancel executing Scheduling Blocks.
2. Command all Dishes to stow (for SKA1 TM Mid only).
3. Command Elements to shut down.
4. Go to the Shutdown state.
 
Rationale:
The TM will orchestrate Telescope shutdown: a sequenced, orderly termination of relevant processes and power down of equipment that are affected by the power/cooling loss event. The idea is to ensure that data taken during the current observation is not compromised, equipment that are sensitive to hard power down are given due instruction to manage own power down, and to leave equipment in a state that poses least hazard for people or themselves (e.g. stowing of Dishes). Excluded from Telescope power down coordination from TM are INFRA-SA and INFRA-AUS computing sub-systems, and SADT networking equipment.
"
360	SKA1-SYS_REQ-3088	The SKA1_Mid and SKA1_Low shall ensure that power consumption remains below available power supply capacity at all times.	Derived to L2	Yes	TM_REQ_221	"The TM shall perform the Telescope Shutdown function when it receives one of the following indications via its via its I.S1M.TM_INFRA-SA.002, I.S1L.TM_INFRA-AUS.002 interface:
1. cooling system failure indication (refer [RD10] par. 5.2.3 and [RD11] par. 5.1.2.3 and 5.2.2.3),
2. power status identifies an impending power failure (refer [RD10] par. 5.2.3 and [RD11] par. 5.1.2.3 and 5.2.2.3).
"
455	SKA1-SYS_REQ-3238	"SKA1_Mid and SKA1_Low equipment that would otherwise present a safety hazard when subjected to an unplanned loss of main electrical power or main control function, shall enter a designated fail safe state."	Derived to L2	Yes	TM_REQ_221	"The TM shall perform the Telescope Shutdown function when it receives one of the following indications via its via its I.S1M.TM_INFRA-SA.002, I.S1L.TM_INFRA-AUS.002 interface:
1. cooling system failure indication (refer [RD10] par. 5.2.3 and [RD11] par. 5.1.2.3 and 5.2.2.3),
2. power status identifies an impending power failure (refer [RD10] par. 5.2.3 and [RD11] par. 5.1.2.3 and 5.2.2.3).
"
456	SKA1-SYS_REQ-3238	"SKA1_Mid and SKA1_Low equipment that would otherwise present a safety hazard when subjected to an unplanned loss of main electrical power or main control function, shall enter a designated fail safe state."	Derived to L2	Yes	TM_REQ_221	"The TM shall perform the Telescope Shutdown function when it receives one of the following indications via its via its I.S1M.TM_INFRA-SA.002, I.S1L.TM_INFRA-AUS.002 interface:
1. cooling system failure indication (refer [RD10] par. 5.2.3 and [RD11] par. 5.1.2.3 and 5.2.2.3),
2. power status identifies an impending power failure (refer [RD10] par. 5.2.3 and [RD11] par. 5.1.2.3 and 5.2.2.3).
"
